mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
1,fish_female_20-29,5.377071242,8.589806592,14012.27478,23.5530116,1.165277109,0.344527859,478.8026382,669.1543817,23.08437741,3.409395708,5.965691645,8812.036154,13.78824144,0.913103043,0.238819205,400.2899735,402.3724084,13.77499796,1329,female,fish,20-29
1,fish_female_30-39,5.376457296,8.620238126,15030.2661,23.83141902,1.15242196,0.326275715,469.5738619,697.1615485,23.7308296,3.160535237,5.440268442,9105.60206,13.4660367,0.845564255,0.21053885,375.3012257,420.1473504,13.07720676,2024,female,fish,30-39
1,fish_female_40-49,5.169838218,8.304830527,15441.25934,23.4198154,1.095640234,0.305898032,435.5340503,687.7335688,23.88367677,2.901606829,4.877060617,9141.105566,12.69297792,0.773937399,0.190560839,333.6134454,404.1519161,12.9590122,1689,female,fish,40-49
1,fish_female_50-59,4.933743886,7.880759327,16244.68021,23.45944979,0.995246632,0.285799901,382.0977273,686.7635921,23.7259117,2.74797646,4.663224635,10643.50013,13.82527275,0.669932247,0.1662055,271.0619893,429.9650871,13.15524991,946,female,fish,50-59
1,fish_female_60-69,5.428442023,8.701866914,18364.95302,25.46917645,1.127873064,0.315650683,435.5782296,751.0508091,25.99256911,3.341805892,5.810340835,11516.96697,14.53805463,0.907853389,0.196967725,396.8110973,471.3768831,14.1770484,492,female,fish,60-69
1,fish_female_70-79,5.446094094,8.929224307,19987.50855,25.56201108,1.109780645,0.333231319,438.8836613,771.8934065,26.07223088,2.794159474,4.842662501,13639.96001,13.45980851,0.688701158,0.181108349,300.0244438,465.2382047,13.69004123,195,female,fish,70-79
1,fish_male_20-29,7.699646286,11.9521644,19854.45132,33.41853523,1.616216967,0.485966418,668.5509154,976.3782878,32.21701756,4.089614247,6.971832501,12486.45654,19.18089453,1.043882988,0.28374852,447.392882,625.4982391,17.15855026,163,male,fish,20-29
1,fish_male_30-39,6.841501211,10.75927309,19212.19001,30.10896318,1.411203334,0.428368136,589.154718,883.0546268,29.41734702,3.915505331,6.708308145,11193.55502,17.15535905,0.996770973,0.284958526,440.3555031,525.3593796,16.40346901,412,male,fish,30-39
1,fish_male_40-49,6.502769564,10.34802976,18380.27989,28.62193609,1.359408519,0.385697101,560.6589716,854.0312987,27.88381523,4.041332729,6.838322935,10859.17035,18.72323796,1.083903295,0.239838896,493.7874739,632.2771142,16.28110353,432,male,fish,40-49
1,fish_male_50-59,6.128043392,9.621960327,18571.70033,27.39509448,1.26521986,0.348635921,505.8237519,807.6362641,27.4023633,3.616810588,5.85384233,11215.8639,16.24569141,0.908810013,0.205886627,377.5415028,511.6907063,15.56732075,214,male,fish,50-59
